"ASV","Contaminant","Genus","Family","Order","Phylum","Kingdom"
"ASV_177",TRUE,"g__","f__","o__Candidatus Liptonbacteria","p__Patescibacteria","k__Bacteria"
"ASV_213",TRUE,"g__","f__A4b","o__SBR1031","p__Chloroflexi","k__Bacteria"
"ASV_299",TRUE,"g__","f__","o__Candidatus Curtissbacteria","p__Patescibacteria","k__Bacteria"
"ASV_306",TRUE,"g__Subdoligranulum","f__Ruminococcaceae","o__Oscillospirales","p__Firmicutes","k__Bacteria"
"ASV_312",TRUE,"g__Subdoligranulum","f__Ruminococcaceae","o__Oscillospirales","p__Firmicutes","k__Bacteria"
"ASV_1071",TRUE,"g__Spirochaeta 2","f__Spirochaetaceae","o__Spirochaetales","p__Spirochaetota","k__Bacteria"
"ASV_1093",TRUE,"g__Spirochaeta 2","f__Spirochaetaceae","o__Spirochaetales","p__Spirochaetota","k__Bacteria"
"ASV_1104",TRUE,"g__Spirochaeta 2","f__Spirochaetaceae","o__Spirochaetales","p__Spirochaetota","k__Bacteria"
"ASV_1174",TRUE,"g__","f__","o__Saccharimonadales","p__Patescibacteria","k__Bacteria"
"ASV_1241",TRUE,"g__","f__Spirochaetaceae","o__Spirochaetales","p__Spirochaetota","k__Bacteria"
"ASV_1695",TRUE,"g__","f__","o__Candidatus Peribacteria","p__Patescibacteria","k__Bacteria"
"ASV_1771",TRUE,"g__Kouleothrix","f__Roseiflexaceae","o__Chloroflexales","p__Chloroflexi","k__Bacteria"
"ASV_1812",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_1824",TRUE,"g__","f__","o__","p__Planctomycetota","k__Bacteria"
"ASV_1875",TRUE,"g__","f__Sandaracinaceae","o__Polyangiales","p__Myxococcota","k__Bacteria"
"ASV_1884",TRUE,"g__Sandaracinus","f__Sandaracinaceae","o__Polyangiales","p__Myxococcota","k__Bacteria"
"ASV_1894",TRUE,"g__","f__Sandaracinaceae","o__Polyangiales","p__Myxococcota","k__Bacteria"
"ASV_1956",TRUE,"g__Phaselicystis","f__Phaselicystidaceae","o__Polyangiales","p__Myxococcota","k__Bacteria"
"ASV_1968",TRUE,"g__","f__BIrii41","o__Polyangiales","p__Myxococcota","k__Bacteria"
"ASV_1992",TRUE,"g__","f__Polyangiaceae","o__Polyangiales","p__Myxococcota","k__Bacteria"
"ASV_1996",TRUE,"g__Pajaroellobacter","f__Polyangiaceae","o__Polyangiales","p__Myxococcota","k__Bacteria"
"ASV_2021",TRUE,"g__Pajaroellobacter","f__Polyangiaceae","o__Polyangiales","p__Myxococcota","k__Bacteria"
"ASV_2061",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_2189",TRUE,"g__","f__","o__Omnitrophales","p__Verrucomicrobiota","k__Bacteria"
"ASV_2447",TRUE,"g__Fimbriiglobus","f__Gemmataceae","o__Gemmatales","p__Planctomycetota","k__Bacteria"
"ASV_2476",TRUE,"g__Pirellula","f__Pirellulaceae","o__Pirellulales","p__Planctomycetota","k__Bacteria"
"ASV_2683",TRUE,"g__","f__NS11-12 marine group","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2694",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2712",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2720",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2734",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2744",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2764",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2775",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2782",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_2830",TRUE,"g__Reyranella","f__Reyranellaceae","o__Reyranellales","p__Proteobacteria","k__Bacteria"
"ASV_2868",TRUE,"g__","f__","o__MVP-88","p__Elusimicrobiota","k__Bacteria"
"ASV_2908",TRUE,"g__Pirellula","f__Pirellulaceae","o__Pirellulales","p__Planctomycetota","k__Bacteria"
"ASV_2917",TRUE,"g__Pirellula","f__Pirellulaceae","o__Pirellulales","p__Planctomycetota","k__Bacteria"
"ASV_2935",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3012",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3015",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3029",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3105",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3123",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3131",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3144",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3180",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3214",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3219",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3221",TRUE,"g__Bdellovibrio","f__Bdellovibrionaceae","o__Bdellovibrionales","p__Bdellovibrionota","k__Bacteria"
"ASV_3407",TRUE,"g__Caedibacter","f__Caedibacteraceae","o__Caedibacterales","p__Proteobacteria","k__Bacteria"
"ASV_3421",TRUE,"g__","f__Rickettsiaceae","o__Rickettsiales","p__Proteobacteria","k__Bacteria"
"ASV_3766",TRUE,"g__","f__","o__Candidatus Curtissbacteria","p__Patescibacteria","k__Bacteria"
"ASV_3780",TRUE,"g__","f__Fimbriimonadaceae","o__Fimbriimonadales","p__Armatimonadota","k__Bacteria"
"ASV_4118",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_4163",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4198",TRUE,"g__","f__","o__Candidatus Yanofskybacteria","p__Patescibacteria","k__Bacteria"
"ASV_4361",TRUE,"g__","f__","o__Candidatus Yanofskybacteria","p__Patescibacteria","k__Bacteria"
"ASV_4473",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4516",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4527",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4540",TRUE,"g__","f__","o__Candidatus Yanofskybacteria","p__Patescibacteria","k__Bacteria"
"ASV_4598",TRUE,"g__","f__","o__Candidatus Doudnabacteria","p__Patescibacteria","k__Bacteria"
"ASV_4641",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4694",TRUE,"g__","f__","o__Candidatus Moranbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4769",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_4772",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4886",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4892",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4904",TRUE,"g__","f__","o__Candidatus Yanofskybacteria","p__Patescibacteria","k__Bacteria"
"ASV_4936",TRUE,"g__","f__","o__Candidatus Magasanikbacteria","p__Patescibacteria","k__Bacteria"
"ASV_4960",TRUE,"g__","f__Opitutaceae","o__Opitutales","p__Verrucomicrobiota","k__Bacteria"
"ASV_5000",TRUE,"g__Opitutus","f__Opitutaceae","o__Opitutales","p__Verrucomicrobiota","k__Bacteria"
"ASV_5033",TRUE,"g__IMCC26134","f__Opitutaceae","o__Opitutales","p__Verrucomicrobiota","k__Bacteria"
"ASV_5095",TRUE,"g__","f__","o__","p__Planctomycetota","k__Bacteria"
"ASV_5328",TRUE,"g__","f__","o__Candidatus Kaiserbacteria","p__Patescibacteria","k__Bacteria"
"ASV_5535",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_5892",TRUE,"g__","f__","o__Candidatus Kaiserbacteria","p__Patescibacteria","k__Bacteria"
"ASV_5940",TRUE,"g__","f__","o__Candidatus Nomurabacteria","p__Patescibacteria","k__Bacteria"
"ASV_5964",TRUE,"g__","f__","o__Candidatus Nomurabacteria","p__Patescibacteria","k__Bacteria"
"ASV_5988",TRUE,"g__","f__","o__Candidatus Nomurabacteria","p__Patescibacteria","k__Bacteria"
"ASV_6100",TRUE,"g__","f__","o__Candidatus Nomurabacteria","p__Patescibacteria","k__Bacteria"
"ASV_6125",TRUE,"g__","f__","o__Candidatus Nomurabacteria","p__Patescibacteria","k__Bacteria"
"ASV_6209",TRUE,"g__","f__","o__Subgroup 7","p__Acidobacteriota","k__Bacteria"
"ASV_6225",TRUE,"g__","f__Holophagaceae","o__Holophagales","p__Acidobacteriota","k__Bacteria"
"ASV_6231",TRUE,"g__Geothrix","f__Holophagaceae","o__Holophagales","p__Acidobacteriota","k__Bacteria"
"ASV_6239",TRUE,"g__","f__Holophagaceae","o__Holophagales","p__Acidobacteriota","k__Bacteria"
"ASV_6260",TRUE,"g__Vicinamibacter","f__Vicinamibacteraceae","o__Vicinamibacterales","p__Acidobacteriota","k__Bacteria"
"ASV_6295",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_6385",TRUE,"g__Rickettsiella","f__Diplorickettsiaceae","o__Diplorickettsiales","p__Proteobacteria","k__Bacteria"
"ASV_6445",TRUE,"g__Psychrobacter","f__Moraxellaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_6459",TRUE,"g__","f__","o__KF-JG30-C25","p__Proteobacteria","k__Bacteria"
"ASV_6463",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_6507",TRUE,"g__Perlucidibaca","f__Moraxellaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_6512",TRUE,"g__Cavicella","f__Moraxellaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_6520",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_6524",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_6529",TRUE,"g__Pseudomonas","f__Pseudomonadaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_6633",TRUE,"g__Pseudomonas","f__Pseudomonadaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_6650",TRUE,"g__Pseudomonas","f__Pseudomonadaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_6668",TRUE,"g__Beggiatoa","f__Beggiatoaceae","o__Beggiatoales","p__Proteobacteria","k__Bacteria"
"ASV_6679",TRUE,"g__Acidibacter","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_6732",TRUE,"g__Thiovirga","f__Halothiobacillaceae","o__Halothiobacillales","p__Proteobacteria","k__Bacteria"
"ASV_6817",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_6899",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_6917",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_6924",TRUE,"g__","f__Saprospiraceae","o__Chitinophagales","p__Bacteroidota","k__Bacteria"
"ASV_7022",TRUE,"g__","f__","o__Candidatus Woesebacteria","p__Patescibacteria","k__Bacteria"
"ASV_7040",TRUE,"g__","f__","o__","p__SAR324 clade(Marine group B)","k__Bacteria"
"ASV_7089",TRUE,"g__","f__","o__0319-6G20","p__Bdellovibrionota","k__Bacteria"
"ASV_7099",TRUE,"g__","f__","o__0319-6G20","p__Bdellovibrionota","k__Bacteria"
"ASV_7214",TRUE,"g__","f__","o__0319-6G20","p__Bdellovibrionota","k__Bacteria"
"ASV_7283",TRUE,"g__KD3-10","f__Myxococcaceae","o__Myxococcales","p__Myxococcota","k__Bacteria"
"ASV_7302",TRUE,"g__","f__","o__0319-6G20","p__Bdellovibrionota","k__Bacteria"
"ASV_7377",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_7469",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_7607",TRUE,"g__","f__","o__","p__Proteobacteria","k__Bacteria"
"ASV_7613",TRUE,"g__Acinetobacter","f__Moraxellaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_7624",TRUE,"g__Acinetobacter","f__Moraxellaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
"ASV_7901",TRUE,"g__","f__Pedosphaeraceae","o__Pedosphaerales","p__Verrucomicrobiota","k__Bacteria"
"ASV_7958",TRUE,"g__","f__Pedosphaeraceae","o__Pedosphaerales","p__Verrucomicrobiota","k__Bacteria"
"ASV_7982",TRUE,"g__DEV008","f__Pedosphaeraceae","o__Pedosphaerales","p__Verrucomicrobiota","k__Bacteria"
"ASV_7986",TRUE,"g__","f__Pedosphaeraceae","o__Pedosphaerales","p__Verrucomicrobiota","k__Bacteria"
"ASV_8005",TRUE,"g__","f__Pedosphaeraceae","o__Pedosphaerales","p__Verrucomicrobiota","k__Bacteria"
"ASV_8021",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_8067",TRUE,"g__Chthoniobacter","f__Chthoniobacteraceae","o__Chthoniobacterales","p__Verrucomicrobiota","k__Bacteria"
"ASV_8114",TRUE,"g__","f__Verrucomicrobiaceae","o__Verrucomicrobiales","p__Verrucomicrobiota","k__Bacteria"
"ASV_8126",TRUE,"g__Prosthecobacter","f__Verrucomicrobiaceae","o__Verrucomicrobiales","p__Verrucomicrobiota","k__Bacteria"
"ASV_8157",TRUE,"g__Prosthecobacter","f__Verrucomicrobiaceae","o__Verrucomicrobiales","p__Verrucomicrobiota","k__Bacteria"
"ASV_8175",TRUE,"g__","f__Verrucomicrobiaceae","o__Verrucomicrobiales","p__Verrucomicrobiota","k__Bacteria"
"ASV_8205",TRUE,"g__Chthoniobacter","f__Chthoniobacteraceae","o__Chthoniobacterales","p__Verrucomicrobiota","k__Bacteria"
"ASV_8290",TRUE,"g__","f__","o__","p__Planctomycetota","k__Bacteria"
"ASV_8305",TRUE,"g__","f__","o__Subgroup 17","p__Acidobacteriota","k__Bacteria"
"ASV_8322",TRUE,"g__","f__Vicinamibacteraceae","o__Vicinamibacterales","p__Acidobacteriota","k__Bacteria"
"ASV_8325",TRUE,"g__","f__Vicinamibacteraceae","o__Vicinamibacterales","p__Acidobacteriota","k__Bacteria"
"ASV_8437",TRUE,"g__","f__","o__","p__Planctomycetota","k__Bacteria"
"ASV_8612",TRUE,"g__","f__","o__Vicinamibacterales","p__Acidobacteriota","k__Bacteria"
"ASV_8634",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_8685",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_8695",TRUE,"g__","f__","o__Absconditabacteriales (SR1)","p__Patescibacteria","k__Bacteria"
"ASV_8782",TRUE,"g__","f__","o__","p__","k__Bacteria"
"ASV_8795",TRUE,"g__hgcI clade","f__Sporichthyaceae","o__Frankiales","p__Actinobacteriota","k__Bacteria"
"ASV_8805",TRUE,"g__hgcI clade","f__Sporichthyaceae","o__Frankiales","p__Actinobacteriota","k__Bacteria"
"ASV_8810",TRUE,"g__Candidatus Planktophila","f__Sporichthyaceae","o__Frankiales","p__Actinobacteriota","k__Bacteria"
"ASV_8823",TRUE,"g__","f__Sporichthyaceae","o__Frankiales","p__Actinobacteriota","k__Bacteria"
"ASV_8837",TRUE,"g__hgcI clade","f__Sporichthyaceae","o__Frankiales","p__Actinobacteriota","k__Bacteria"
"ASV_8861",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_8865",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_8873",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_8886",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_8922",TRUE,"g__","f__","o__Candidatus Peregrinibacteria","p__Patescibacteria","k__Bacteria"
"ASV_9240",TRUE,"g__","f__","o__Planctomycetales","p__Planctomycetota","k__Bacteria"
"ASV_9242",TRUE,"g__","f__","o__Planctomycetales","p__Planctomycetota","k__Bacteria"
"ASV_9243",TRUE,"g__","f__","o__Planctomycetales","p__Planctomycetota","k__Bacteria"
"ASV_9256",TRUE,"g__SH-PL14","f__Rubinisphaeraceae","o__Planctomycetales","p__Planctomycetota","k__Bacteria"
"ASV_9296",TRUE,"g__Planctomicrobium","f__Rubinisphaeraceae","o__Planctomycetales","p__Planctomycetota","k__Bacteria"
"ASV_9326",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9336",TRUE,"g__","f__","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9340",TRUE,"g__","f__","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9353",TRUE,"g__","f__env.OPS 17","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9364",TRUE,"g__","f__NS11-12 marine group","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9371",TRUE,"g__","f__NS11-12 marine group","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9377",TRUE,"g__","f__NS11-12 marine group","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9382",TRUE,"g__","f__NS11-12 marine group","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9383",TRUE,"g__","f__NS11-12 marine group","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9403",TRUE,"g__","f__AKYH767","o__Sphingobacteriales","p__Bacteroidota","k__Bacteria"
"ASV_9476",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_9662",TRUE,"g__","f__","o__Candidatus Nomurabacteria","p__Patescibacteria","k__Bacteria"
"ASV_9773",TRUE,"g__","f__","o__","p__Patescibacteria","k__Bacteria"
"ASV_9848",TRUE,"g__Candidatus Captivus","f__Paracaedibacteraceae","o__Paracaedibacterales","p__Proteobacteria","k__Bacteria"
"ASV_9873",TRUE,"g__Candidatus Odyssella","f__Paracaedibacteraceae","o__Paracaedibacterales","p__Proteobacteria","k__Bacteria"
"ASV_9981",TRUE,"g__","f__","o__0319-6G20","p__Bdellovibrionota","k__Bacteria"
"ASV_10067",TRUE,"g__","f__","o__Elsterales","p__Proteobacteria","k__Bacteria"
"ASV_10151",TRUE,"g__Bosea","f__Beijerinckiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10168",TRUE,"g__Methylobacterium-Methylorubrum","f__Beijerinckiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10189",TRUE,"g__Methylobacterium-Methylorubrum","f__Beijerinckiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10265",TRUE,"g__","f__Acetobacteraceae","o__Acetobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10329",TRUE,"g__Brevundimonas","f__Caulobacteraceae","o__Caulobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10335",TRUE,"g__Caulobacter","f__Caulobacteraceae","o__Caulobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10373",TRUE,"g__","f__Caulobacteraceae","o__Caulobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10374",TRUE,"g__","f__Caulobacteraceae","o__Caulobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10399",TRUE,"g__Brevundimonas","f__Caulobacteraceae","o__Caulobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10440",TRUE,"g__Phreatobacter","f__","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10453",TRUE,"g__Hyphomicrobium","f__Hyphomicrobiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10484",TRUE,"g__","f__","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10524",TRUE,"g__","f__SM2D12","o__Rickettsiales","p__Proteobacteria","k__Bacteria"
"ASV_10550",TRUE,"g__","f__Rhizobiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10572",TRUE,"g__Hyphomonas","f__Hyphomonadaceae","o__Caulobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10589",TRUE,"g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","f__Rhizobiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10614",TRUE,"g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","f__Rhizobiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10636",TRUE,"g__Hirschia","f__Hyphomonadaceae","o__Caulobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10643",TRUE,"g__Hyphomicrobium","f__Hyphomicrobiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10667",TRUE,"g__","f__","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10719",TRUE,"g__","f__Rhodospirillaceae","o__Rhodospirillales","p__Proteobacteria","k__Bacteria"
"ASV_10727",TRUE,"g__","f__A0839","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10781",TRUE,"g__Skermanella","f__Azospirillaceae","o__Azospirillales","p__Proteobacteria","k__Bacteria"
"ASV_10835",TRUE,"g__Devosia","f__Devosiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10840",TRUE,"g__Devosia","f__Devosiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10849",TRUE,"g__Mesorhizobium","f__Rhizobiaceae","o__Rhizobiales","p__Proteobacteria","k__Bacteria"
"ASV_10872",TRUE,"g__SWB02","f__Hyphomonadaceae","o__Caulobacterales","p__Proteobacteria","k__Bacteria"
"ASV_10936",TRUE,"g__","f__Vermiphilaceae","o__Babeliales","p__Dependentiae","k__Bacteria"
"ASV_10998",TRUE,"g__Haliangium","f__Haliangiaceae","o__Haliangiales","p__Myxococcota","k__Bacteria"
"ASV_11055",TRUE,"g__Azotobacter","f__Pseudomonadaceae","o__Pseudomonadales","p__Proteobacteria","k__Bacteria"
